MCD_FLAT_PLAYAGAIN	"Повторить сообщение";
MCD_FLAT_CHOOSECAR	"Выбрать машину";
MCD_FLAT_CONFIRMCAR	"Подтвердить выбор";
MCD_SLOWDOWN		"Сбавь скорость!";
MCD_WELLDONE		"Отличная работа!";
MCD_GOODJOB		"Хорошая работа!";
MCD_MISSION_TOBECONT		"продолжение следует...";
MCD01_TITLE_THEBANKJOB		"ОГРАБЛЕНИЕ";
MCD01_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD01_OBJ_GETTOBANK		"Подъезжай к банку.";
MCD01_OBJ_TOOEARLY		"Рановато. Подъедь позже.";
MCD01_OBJ_GETTOLOCKUP		"Езжай в укрытие.";
MCD02_TITLE_HIDEEVIDENCE		"СКРЫТЬ УЛИКИ";
MCD02_OBJ_BREAKERS		"Отвези машину на разбор.";
MCD03_TITLE_TICCO		"ПОЕЗДКА С ТИККО";
MCD03_OBJ_PICKUP		"Подбери Тикко.";
MCD03_OBJ_TAKEHIM		"Отвези его куда он хочет.";
MCD03_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD04_TITLE_CLEANUP		"УБОРКА";
MCD04_TITLE_CLEANUP_CNTD		"УБОРКА (продолжение...)";
MCD04_OBJ_PICKUP		"Забери машину.";
MCD04_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD04_OBJ_GETOUT		"Убирайся отсюда!";
MCD05_TITLE_CASEFORAKEY		"ЧЕМОДАН ДЛЯ КЛЮЧА";
MCD05_TITLE_CASEFORAKEY_CNTD		"ЧЕМОДАН ДЛЯ КЛЮЧА (продолжение...)";
MCD05_OBJ_MEET		"Встреться с ними.";
MCD05_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD05_OBJ_EXCHANGE		"Произведи обмен.";
MCD05_OBJ_CHASE		"Преследуй катер.";
MCD05_OBJ_LOST		"Ты потерял его.";
MCD06_TITLE_RUFUS		"ТАННЕР ВСТРЕЧАЕТ РУФУСА";
MCD06_OBJ_MEET		"Езжай на встречу с Руфусом.";
MCD06_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD07_TITLE_JEANPAUL		"ВЫЗВОЛИТЬ ЖАН ПОЛЯ";
MCD07_TITLE_JEANPAUL_CNTD		"ВЫЗВОЛИТЬ ЖАН ПОЛЯ (продолжение...)";
MCD07_OBJ_RAM		"Тарань бронированную машину.";
MCD07_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD07_OBJ_LOST		"Ты потерял его.";
MCD07_OBJ_GETOUT		"Увозите Жан-Поля отсюда.";
MCD08_TITLE_PAYBACK		"РАСПЛАТА";
MCD08_OBJ_RESTAURANT1		"Езжай к первому ресторану.";
MCD08_OBJ_RESTAURANT2		"Уничтожь второй ресторан.";
MCD08_OBJ_RESTAURANT3		"Разнеси третий ресторан.";
MCD08_OBJ_RESTAURANT4		"Разрушь четвёртый ресторан.";
MCD08_OBJ_RESTAURANT5		"Протарань последний ресторан.";
MCD09_TITLE_SHIPMENT		"ПОСТАВКА НА ПОДХОДЕ";
MCD09_OBJ_PICK		"Забери оборудование.";
MCD09_OBJ_GETOUT		"Вали отсюда и возвращайся в мотель.";
MCD09_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD10_TITLE_SUPERFLY		"SUPERFLY DRIVE";
MCD10_OBJ_TAKEITHOME		"Отвези щенка домой.";
MCD10_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD11_TITLE_DIANGIO		"ОСТАНОВИ ТАЧКУ ДИ АНДЖИО";
MCD11_OBJ_RAM		"Тарань его!";
MCD11_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD11_OBJ_LOST		"Ты потерял его!";
MCD12_TITLE_BAIT		"ПРИМАНКА ДЛЯ ЛОВУШКИ";
MCD12_OBJ_WRECK		"Ударь его машину.";
MCD12_OBJ_GETOUT		"Тебя подставили, уезжай отсюда!";
MCD12_OBJ_DONTLOSE		"Не теряй его из виду.";
MCD12_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD12_OBJ_LOST		"Ты потерял его.";
MCD13_TITLE_INFORMANT		"ИНФОРМАТОР";
MCD13_OBJ_CATCHJESSE		"Поймай Джесси.";
MCD13_OBJ_FAILED		"Слишком поздно. Миссия провалена.";
MCD13_OBJ_LOST		"Ты упустил её.";
